five_star,european,north_american,asian,other,author_gender,avg_rating,pages,org_publication_year,duration,favorite,fiction,nonfiction,contemporary,philosophy,politics,religion,science_tech_math,short_story,memoir,war_story,historical
,1,0,0,0,0,4.07,271,2016,14,0,0,1,1,0,0,0,0,0,0,0,0
0,0,1,0,0,0,3.68,160,2008,18,0,0,1,1,0,0,1,0,0,0,0,0
1,0,1,0,0,0,4.27,448,2014,5,1,0,1,1,0,0,0,1,1,0,0,0
1,0,1,0,0,0,4.32,531,2014,8,1,1,0,1,0,0,0,0,0,0,1,1
0,1,0,0,0,0,4.15,127,-390,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,4.41,282,2014,21,0,0,1,1,1,0,0,1,0,0,0,0
0,0,1,0,0,1,3.78,324,1987,89,0,1,0,0,0,1,0,0,0,0,0,1
0,1,0,0,0,0,3.97,231,1932,28,0,1,0,0,1,1,0,0,0,0,0,0
0,1,0,0,0,0,4.14,64,125,36,0,0,0,0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,3.65,48,2001,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,1,0,0,4.07,129,1995,8,0,0,0,0,1,0,1,0,0,1,0,0
0,0,1,0,0,1,4.1,145,1996,0,0,1,0,1,0,0,0,0,0,0,0,0
0,0,1,0,0,0,3.85,384,2006,38,0,0,1,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,3.96,108,1946,3,0,0,1,0,1,0,0,0,0,0,0,0
1,0,0,0,1,0,3.88,208,2011,1,0,1,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,4.2,218,1996,8,0,1,0,1,0,0,0,0,0,0,0,0
1,0,1,0,0,0,4.14,64,2015,0,0,0,0,1,0,0,0,0,0,1,0,0
0,0,1,0,0,0,3.95,207,1996,1,0,1,0,1,0,0,0,0,0,0,0,0
0,0,1,0,0,0,4.12,368,1997,2,0,1,0,1,0,0,0,0,0,0,0,1
0,1,0,0,0,0,3.84,240,1864,13,0,1,0,0,0,0,0,1,0,0,0,0
1,1,0,0,0,0,4.34,222,1978,10,0,0,0,0,0,0,0,0,1,1,1,1
0,1,0,0,0,0,3.52,48,-380,2,0,0,0,0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,3.88,249,1606,1,0,1,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,4.21,304,180,87,1,0,1,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,4.41,508,2008,6,0,1,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,1,4.25,279,1813,25,0,1,0,0,0,0,0,0,0,0,0,1
0,0,1,0,0,0,4.06,275,1969,8,0,1,0,0,1,0,0,0,0,0,1,1
0,0,1,0,0,0,3.81,157,2013,2,0,0,1,1,0,0,0,1,0,0,0,0
0,0,0,0,1,0,3.82,197,1988,6,0,1,0,0,1,0,0,0,0,0,0,1
0,0,0,1,0,0,4,33,2016,1,0,0,1,1,1,0,1,0,0,0,0,0
0,0,1,0,0,1,3.19,320,2009,2,0,0,1,1,0,1,0,0,0,0,0,0
0,1,0,0,0,0,4.25,272,1953,22,0,0,1,0,0,1,0,0,0,0,1,1
0,0,1,0,0,0,3.89,144,1960,10,0,0,1,0,0,1,0,0,0,0,0,0
0,0,1,0,0,0,3.97,296,2007,49,0,0,1,0,0,1,0,0,0,0,0,0
0,0,1,0,0,0,3.9,196,2003,2,0,1,0,1,1,0,0,0,0,0,0,0
0,0,1,0,0,0,4.01,199,2010,2,0,0,1,1,1,0,0,1,0,0,0,0
0,1,0,0,0,1,3.88,242,2014,5,0,1,0,1,0,0,0,0,0,0,0,0
1,0,1,0,1,0,4.26,371,2003,7,0,1,0,1,0,1,1,0,0,0,0,0
1,1,0,0,0,0,4.14,854,1924,122,0,1,0,0,1,0,0,0,0,0,0,1
0,1,0,0,0,0,4.5,267,1996,24,0,0,1,1,0,0,0,1,0,0,0,0
0,0,1,0,0,0,3.88,144,1938,50,0,1,0,0,0,0,0,0,1,0,0,0
0,1,0,0,0,0,3.96,123,1942,25,0,1,0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,3.83,189,1926,19,0,1,0,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,4.01,131,-385,11,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,1,0,0,4.12,384,2011,6,0,0,1,1,0,0,0,1,0,0,0,0
1,1,0,0,0,0,4.1,180,1947,11,0,0,1,0,0,0,0,0,0,0,1,1
1,0,1,1,0,0,4.32,208,2016,6,1,0,0,1,1,0,0,0,0,1,0,0
